2023-04-23 21:26:53.604 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:26:53.606 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:26:53.609 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-04-23 21:27:52.870 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:27:52.922 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 12876 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:27:52.923 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:27:54.188 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:27:54.193 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:27:54.254 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 44 ms. Found 0 Redis repository interfaces.
2023-04-23 21:27:55.024 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:27:55.035 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:27:55.037 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:27:55.037 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:27:55.157 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:27:55.158 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2169 ms
2023-04-23 21:27:57.903 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@103e7c7c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c3710b3, org.springframework.security.web.context.SecurityContextHolderFilter@1592e540, org.springframework.security.web.header.HeaderWriterFilter@74a5bef0, org.springframework.security.web.authentication.logout.LogoutFilter@7d5ef1c3, top.wuml.security.filter.AuthenticationTokenFilter@13ca16bf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4449b273, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1fa18f87, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8b1202a, org.springframework.security.web.session.SessionManagementFilter@2b400bd0, org.springframework.security.web.access.ExceptionTranslationFilter@5896b9f5, org.springframework.security.web.access.intercept.AuthorizationFilter@11309dd4]
2023-04-23 21:27:58.815 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:27:58.848 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:27:58.862 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 6.462 seconds (process running for 8.706)
2023-04-23 21:27:59.243 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:27:59.247 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:27:59.267 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2023-04-23 21:28:00.045 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-23 21:28:00.858 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@1f9f92b5
2023-04-23 21:28:00.860 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-23 21:28:09.402 [http-nio-8080-exec-25] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 159 ms
2023-04-23 21:30:25.540 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-23 21:30:25.761 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-23 21:30:36.475 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:30:36.528 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 11040 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:30:36.528 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:30:37.721 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:30:37.723 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:30:37.766 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2023-04-23 21:30:38.584 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:30:38.595 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:30:38.596 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:30:38.597 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:30:38.743 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:30:38.744 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2142 ms
2023-04-23 21:30:41.728 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@686e7513, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@47eae91d, org.springframework.security.web.context.SecurityContextHolderFilter@7b2d58e6, org.springframework.security.web.header.HeaderWriterFilter@3b66ac74, org.springframework.security.web.authentication.logout.LogoutFilter@2cce10bc, top.wuml.security.filter.AuthenticationTokenFilter@69a373fd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@377e90b0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@27b490de, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@c1a74d, org.springframework.security.web.session.SessionManagementFilter@5c1dd18, org.springframework.security.web.access.ExceptionTranslationFilter@2b1d1a5, org.springframework.security.web.access.intercept.AuthorizationFilter@35f01759]
2023-04-23 21:30:42.406 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:30:42.447 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:30:42.471 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 6.452 seconds (process running for 8.148)
2023-04-23 21:30:44.170 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:30:44.171 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:30:44.173 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-04-23 21:30:45.514 [http-nio-8080-exec-22] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 416 ms
